"iduser";"pseudo";"nameelement";"type";"nameelementparent";"idtrack";"nametrack";"ordre"
1;Benoist;playlist2 de Benoist;Playlist;Dossier12;"1oQjPp1I7cwVE24JivbhzT";Bleeding Out;16
1;Benoist;playlist2 de Benoist;Playlist;Dossier12;"2Ho9lRb0wdgefLrZhzV876";DiDi;17
1;Benoist;playlist3 de Benoist;Playlist;Dossier21;"4ZLjBSUa43GeEzvX4nz2Em";Fraulein;1
1;Benoist;playlist4 de Benoist;Playlist;Dossier22;"7mwIdlgXiFvwxwAjprW942";Tokyo;1
1;Benoist;playlist4 de Benoist;Playlist;Dossier22;"4EDijkJdHBZZ0GwJ12iTAj";Stargirl Interlude;2
1;Benoist;playlist4 de Benoist;Playlist;Dossier22;"2rNBMjXeXKy6Qn31IbCsWu";Joy to the World - Rerecorded Version;3
1;Benoist;playlist4 de Benoist;Playlist;Dossier22;"3OGISTawri5xIRd4dmmN6N";Ma wife;4
1;Benoist;playlist4 de Benoist;Playlist;Dossier22;"1oxCIYxlkuPwbgRouKkcD0";Je t'offrirai le monde;5
1;Benoist;playlist4 de Benoist;Playlist;Dossier22;"5NzNEUgpIiYM3y1fXe4aAy";Drip;6
1;Benoist;playlist4 de Benoist;Playlist;Dossier22;"4xaivtewmKqsr6dLLTSGCY";Christmas (Baby Please Come Home);7
1;Benoist;playlist4 de Benoist;Playlist;Dossier22;"6D3t3tNZNcyxAdbH38IEfd";The Ballet Girl (Adagio);8
1;Benoist;playlist4 de Benoist;Playlist;Dossier22;"0Ty6eTLYG1oKR5WWaRPywv";Ma jolie (feat. Leto);9
1;Benoist;playlist5 de Benoist;Playlist;Dossier23;"0y5XmjTgvRjwbQgnThvA11";Et Alors;1
1;Benoist;playlist5 de Benoist;Playlist;Dossier23;"7DNQmaf0bK4ob1UwxE2bOb";Parano (feat. L'Allemand);2
1;Benoist;playlist5 de Benoist;Playlist;Dossier23;"3SsJ17EnPIu1B4GZshqjIS";Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff);3
1;Benoist;playlist5 de Benoist;Playlist;Dossier23;"4MEXAo6QyK98wWjdq3xL2u";Terrible;4
1;Benoist;playlist5 de Benoist;Playlist;Dossier23;"6bt2j6rhe6ZWEFGMwXDJ7q";VICTORY;5
1;Benoist;playlist5 de Benoist;Playlist;Dossier23;"64B8ewx0cEcn6UHwDm33Gm";Calm Down;6
1;Benoist;playlist5 de Benoist;Playlist;Dossier23;"539zyjwDE87Cjp1mzRN8H7";N. J Respect R;7
1;Benoist;playlist5 de Benoist;Playlist;Dossier23;"4s9Ht90usjxcF2A1GQWNtP";SKEU SKEU (SPEED UP);8
1;Benoist;playlist5 de Benoist;Playlist;Dossier23;"5ae3nF8JNUZv5SFfKu48fw";BEAUGARÇONNE;9
1;Benoist;playlist5 de Benoist;Playlist;Dossier23;"4xQsetCeUzzbpMzZb0FiRt";POUR L'ARGENT;10
1;Benoist;playlist5 de Benoist;Playlist;Dossier23;"57bt2i9RU7F73ANIOwJYg5";HENNY BU (feat. Koba LaD);11
1;Benoist;playlist5 de Benoist;Playlist;Dossier23;"7czjhxMkpvai0CvlRf59e3";Hi-Heel Sneakers;12
1;Benoist;playlist5 de Benoist;Playlist;Dossier23;"71tM20RVoYqUUs9EDOso2v";OWN MY MIND;13
1;Benoist;playlist5 de Benoist;Playlist;Dossier23;"3q6eAj1u3ilsyiWG8r15Kj";L'opportuniste;14
1;Benoist;playlist5 de Benoist;Playlist;Dossier23;"4H5FvHei1muDse6zfXjBY1";Paccino;15
1;Benoist;playlist5 de Benoist;Playlist;Dossier23;"6G7QhTqDsP5vIdLQTYXXOU";The Christmas Waltz - Remastered 1999;16
1;Benoist;playlist5 de Benoist;Playlist;Dossier23;"5RonNHsS8N40ECAnF6d3u1";Monkey Monkey - Remastered Version;17
1;Benoist;playlist6 de Benoist;Playlist;Dossier121;"5PqhoQm9oNdFgp0ZXSuD7M";Por Favor;1
1;Benoist;playlist6 de Benoist;Playlist;Dossier121;"2jUkzlppwXhB1lyVAxY9BK";Adieu Monsieur Mon Amour;2
1;Benoist;playlist6 de Benoist;Playlist;Dossier121;"3d5XAa2dlYc9DfejbkErjy";Bambino;3
2;Dorian;Dossier1;Folder;;;;
2;Dorian;Dossier11;Folder;Dossier1;;;
2;Dorian;Dossier12;Folder;Dossier1;;;
2;Dorian;Dossier2;Folder;;;;
2;Dorian;Dossier21;Folder;Dossier2;;;
2;Dorian;Dossier22;Folder;Dossier2;;;
2;Dorian;Dossier23;Folder;Dossier2;;;
2;Dorian;playlist1 de Dorian;Playlist;;"5BgC5vVuhfWHHawbcXRr7h";Let It Snow! Let It Snow! Let It Snow!;1
2;Dorian;playlist1 de Dorian;Playlist;;"3qgtLUW9olYoIIEB7yHSIm";KING;2
2;Dorian;playlist1 de Dorian;Playlist;;"4bArJbevzjgIfbPupg9GEl";The Fool;3
2;Dorian;playlist1 de Dorian;Playlist;;"1makGvbFZxULLqLdUe9M2L";Alcantara;4
2;Dorian;playlist1 de Dorian;Playlist;;"1A18fWpnZE3Lwrm4JCjbGa";Actes;5
2;Dorian;playlist1 de Dorian;Playlist;;"5w3GRfKybnACxA4vTuIDAi";Introduction;6
2;Dorian;playlist1 de Dorian;Playlist;;"2rbZheu5Mvel9YyK6hCXwJ";Nuages;7
2;Dorian;playlist2 de Dorian;Playlist;;"4UnftuYdljtVzCEOhCbI85";Lazzarelle;1
2;Dorian;playlist2 de Dorian;Playlist;;"14ZjIKANKmux9oHz1Rif55";Je le savais;2
2;Dorian;playlist2 de Dorian;Playlist;;"3x9TIgQb459eU5j0fPxOo4";Rari;3
2;Dorian;playlist2 de Dorian;Playlist;;"7jqzUrQlx59stbR6fNebwW";QUI ?;4
2;Dorian;playlist2 de Dorian;Playlist;;"1nSfvLVhsozMHS7rCF1BTi";Rose Colored Lenses;5
2;Dorian;playlist2 de Dorian;Playlist;;"6oriEdqVoEU2VltpyQ0OUM";APRÈS VOUS MADAME;6
2;Dorian;playlist2 de Dorian;Playlist;;"7oGpwtUeck1XjVevuNWmFL";La Fórmula;7
2;Dorian;playlist3 de Dorian;Playlist;;"1Vf09Cxf2jqSkU6sfueYAq";La Boulette (Génération Nan Nan);1
2;Dorian;playlist3 de Dorian;Playlist;;"6zH1ROVhEcUXLb7FeVeaRx";Counting Stars;2
2;Dorian;playlist3 de Dorian;Playlist;;"504CJ43E2GiHEaic3xxFp8";F̶i̶e̶s̶t̶a̶ (Interlude);3
2;Dorian;playlist3 de Dorian;Playlist;;"5XpwulllkqoHEk0jpwvRlJ";paybach;4
2;Dorian;playlist3 de Dorian;Playlist;;"2IkrhvLyWrhLoVaNqkcuwM";Jo;5
2;Dorian;playlist3 de Dorian;Playlist;;"3X2n4mCEOH2xDKq5nzBzHQ";Le zin;6
2;Dorian;playlist3 de Dorian;Playlist;;"2nXOUhAUyZQ0btHePjTzni";Haut niveau;7
2;Dorian;playlist3 de Dorian;Playlist;;"44ZlrjxKS0UOw4tFcQ87FJ";Ma Lady;8
2;Dorian;playlist3 de Dorian;Playlist;;"1cNT9tZrUyhkx9A28ZrjKg";J'suis loin;9
2;Dorian;playlist3 de Dorian;Playlist;;"4FAX5FMPj0l29I4Fj83IwQ";"13 balles";10
2;Dorian;playlist3 de Dorian;Playlist;;"2HV6D9MbLMYTloEQu7wYlD";Je te vends mon âme - 2023 Remaster;11
2;Dorian;playlist3 de Dorian;Playlist;;"7C7GtWZmyicqjBDbAWPsCp";Tricheur;12
2;Dorian;playlist3 de Dorian;Playlist;;"3e2WOT8WgZpyNLZdlVVUpH";Tu sais pas;13
2;Dorian;playlist3 de Dorian;Playlist;;"6gpUUJfsUfAWl5qq4nBCZj";Michael's Christmas Greeting - Hidden Track;14
2;Dorian;playlist3 de Dorian;Playlist;;"5UaiWpx39E60GAsoAtICoV";Árboles Bajo El Mar;15
2;Dorian;playlist3 de Dorian;Playlist;;"4Uz9uTnqgM0xjZpY9wb8ym";Corazon;16
2;Dorian;playlist4 de Dorian;Playlist;Dossier11;"6fKYXAnTD96mFM9nAGaC7V";HENNESSY;1
2;Dorian;playlist4 de Dorian;Playlist;Dossier11;"3TYOH7ta0101NYssoH5GlU";MERCEDES CAROTA;2
2;Dorian;playlist4 de Dorian;Playlist;Dossier11;"6TcdhSTgYnWvHVLxoYEDPQ";From the Inside - Live In Texas;3
2;Dorian;playlist4 de Dorian;Playlist;Dossier11;"3TwOlefpKkAwXfpa1HKACm";Opinel;4
2;Dorian;playlist4 de Dorian;Playlist;Dossier11;"4F1fVi7f1h1fN4FrwoyWMa";La faille;5
2;Dorian;playlist4 de Dorian;Playlist;Dossier11;"7953OK1zxdEkdJBv6XmJ9x";La máquina;6
2;Dorian;playlist4 de Dorian;Playlist;Dossier11;"267OZJmASwYsrFjjp1zz2G";L'as-Tu Vu;7
2;Dorian;playlist4 de Dorian;Playlist;Dossier11;"2c9SDyLCOBcKOA2s3DfLAe";Winners;8
2;Dorian;playlist4 de Dorian;Playlist;Dossier11;"2pg3FzJqu7azkA76M5PooU";Sang froid;9
2;Dorian;playlist4 de Dorian;Playlist;Dossier11;"4qGPtMXB2AtdPYDx8Zy8zt";U pistulettu;10
2;Dorian;playlist4 de Dorian;Playlist;Dossier11;"0daW56v4u9x9nNsgd27WtM";Miroir;11
2;Dorian;playlist4 de Dorian;Playlist;Dossier11;"3p26SlvvvwRo3WY9pUTlE0";Mamma Mia;12
2;Dorian;playlist5 de Dorian;Playlist;Dossier12;"5JnDBCrgXLmfZtbgXEDzmn";Je saigne encore;1
2;Dorian;playlist5 de Dorian;Playlist;Dossier12;"1auLSAt03EwPE7q2ZrfdON";Dans le club;2
2;Dorian;playlist5 de Dorian;Playlist;Dossier12;"7pVEMg7yPouZrE6h6iZAgy";It's Only A Paper Moon;3
2;Dorian;playlist5 de Dorian;Playlist;Dossier12;"7jbu9k6w67hWlhSinmGT3c";COEUR DE ICE (feat. Damso);4
2;Dorian;playlist5 de Dorian;Playlist;Dossier12;"4dH9yDtF83Xb2fZ70GCSso";Interdit;5
2;Dorian;playlist5 de Dorian;Playlist;Dossier12;"30SD3SS7YIUJictSS7pBbD";Interlude;6
2;Dorian;playlist5 de Dorian;Playlist;Dossier12;"3mgDxvAPV6pePQhLwIezto";Tu N'As Pas Très Bon Caractère;7
2;Dorian;playlist5 de Dorian;Playlist;Dossier12;"7EKVf4oCV47RQVPtW2j6Tl";L'envol;8
2;Dorian;playlist6 de Dorian;Playlist;Dossier21;"4rtdUmD6y43EBYAKINqrxE";Parano;1
2;Dorian;playlist6 de Dorian;Playlist;Dossier21;"143uODlYayIqdcwvyU2FmE";Sisters, O Sisters - Remastered 2010;2
2;Dorian;playlist6 de Dorian;Playlist;Dossier21;"18ZX6YaDSOopXPRvfIh8DM";Évidemment;3
2;Dorian;playlist6 de Dorian;Playlist;Dossier21;"48UfgYLSZzz7bELZvo6Bne";Tes Questions;4
2;Dorian;playlist6 de Dorian;Playlist;Dossier21;"1IgcNqvHMUrRLMfzlkE4h8";Burn Out (Creed III);5
2;Dorian;playlist6 de Dorian;Playlist;Dossier21;"737KCBoYXEzyHTm2BEvrcM";Les Anges Dans Nos Campagnes;6
2;Dorian;playlist6 de Dorian;Playlist;Dossier21;"4Mqlo3nYpi7HLhR6PR4nsd";If You Love Me;7
2;Dorian;playlist6 de Dorian;Playlist;Dossier21;"19478RhU7tV6UkD8sWcxo7";My Kind of Man;8
2;Dorian;playlist6 de Dorian;Playlist;Dossier21;"6YHnhfw8yMCx4vZvsgem3D";Hasta la vista;9
2;Dorian;playlist6 de Dorian;Playlist;Dossier21;"20XmmYuaI12Odl0YE5CW1Y";Possédé;10
2;Dorian;playlist6 de Dorian;Playlist;Dossier21;"6z2GJGDgxen8Ld0DzQmPuD";Don't Stay - Live In Texas;11
2;Dorian;playlist7 de Dorian;Playlist;Dossier22;"23fb1JFy5q2pR56AME8zHU";It's a sin - global reach mix;1
2;Dorian;playlist7 de Dorian;Playlist;Dossier22;"5iGe8PpcTXAtnWmgDxhihn";Ma Woman;2
2;Dorian;playlist7 de Dorian;Playlist;Dossier22;"7BxjRKYiiIxVt4Kc34szgH";"21";3
2;Dorian;playlist7 de Dorian;Playlist;Dossier22;"6YO2dalWyZSobXSY3UUPv9";I'm Your Man;4
2;Dorian;playlist7 de Dorian;Playlist;Dossier22;"7exHT4swWOKL5addPeqkLP";THE LONELIEST;5
2;Dorian;playlist7 de Dorian;Playlist;Dossier22;"5GWdbUP56UBrpkkWpitLTG";((home movie: rockets));6
2;Dorian;playlist7 de Dorian;Playlist;Dossier22;"5TOUaD87ZS328pTUp00qMe";Slow;7
2;Dorian;playlist7 de Dorian;Playlist;Dossier22;"6Ec5LeRzkisa5KJtwLfOoW";Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee);8
2;Dorian;playlist7 de Dorian;Playlist;Dossier22;"5Di9MiY5PnRbhfT9S8NBGW";Hope She'll Be Happier;9
2;Dorian;playlist7 de Dorian;Playlist;Dossier22;"0pB3G0jQvKhgK1o33AW3nD";Compte sur moi;10
2;Dorian;playlist7 de Dorian;Playlist;Dossier22;"1t7SDHtgFHUrhjHhP3Z7er";Tu connais les bails;11
2;Dorian;playlist7 de Dorian;Playlist;Dossier22;"6tk63zAFZQ4Hi3wPTk3Kir";Amin;12
2;Dorian;playlist7 de Dorian;Playlist;Dossier22;"1JSTJqkT5qHq8MDJnJbRE1";Every Breath You Take;13
2;Dorian;playlist7 de Dorian;Playlist;Dossier22;"3O5zp6tOdGFWi0NdzC0frI";Pray;14
2;Dorian;playlist8 de Dorian;Playlist;Dossier23;"4e38yfLDjZTHQM9UOvYDaP";Sakakini;1
2;Dorian;playlist8 de Dorian;Playlist;Dossier23;"62PUsRLMQjhyXqijBxSw5B";Lose My Mind;2
2;Dorian;playlist8 de Dorian;Playlist;Dossier23;"73ukgAYqOgQ4I7YgoJKBYw";En miettes;3
2;Dorian;playlist8 de Dorian;Playlist;Dossier23;"2KBMf7cf0D7aJ6w1kOYNOa";Fascinant;4
3;Anaëlle;playlist1 de Anaëlle;Playlist;;"7K1N8TobxyUMkfWNe75kfP";Point d'interrogation;1
3;Anaëlle;playlist1 de Anaëlle;Playlist;;"3tj2nDUnWlvmArKqzsdTDb";I Could Give You (A Mirror) - Remastered Version;2
3;Anaëlle;playlist1 de Anaëlle;Playlist;;"6ij236QJAGyCWyq7UhQYzO";Que Dirá?;3
3;Anaëlle;playlist1 de Anaëlle;Playlist;;"3XcKl6fab6cYqV37hQKYuU";Balance;4
3;Anaëlle;playlist1 de Anaëlle;Playlist;;"3UKU6rcYc1q4TEEYXuma2w";Don't Be Sad;5
3;Anaëlle;playlist1 de Anaëlle;Playlist;;"4c1RuddayQTE5dpURdynD5";You Still Get to Me;6
3;Anaëlle;playlist1 de Anaëlle;Playlist;;"2KG6OQX7PCpp1HX6wj5P6E";How Do You Sleep? - Remastered 2010;7
3;Anaëlle;playlist1 de Anaëlle;Playlist;;"3DSfej4lUwnXYAi0wTDrYV";I Wonder;8
3;Anaëlle;playlist1 de Anaëlle;Playlist;;"6tTwumk2d7pzpQa6I2fW1z";Mauvaise conduite (feat. TIG);9
3;Anaëlle;playlist1 de Anaëlle;Playlist;;"2hL0WVDLvlxZ60J4YyWvFW";Médusa;10
3;Anaëlle;playlist1 de Anaëlle;Playlist;;"0fxtosCAdtcBTnzOlzpAvM";Rudolph Le Petit Renne Au Nez Rouge;11
3;Anaëlle;playlist1 de Anaëlle;Playlist;;"1Jc7y5gpKTI7r3l2R84aHi";Laisse aller;12
3;Anaëlle;playlist2 de Anaëlle;Playlist;;"6lnd6hn1OLathZcWvZfoXA";Ca Va Pas;1
3;Anaëlle;playlist2 de Anaëlle;Playlist;;"4NJnSAWs2QZ5EYR7K8QaNp";Coller;2
3;Anaëlle;playlist2 de Anaëlle;Playlist;;"2KslE17cAJNHTsI2MI0jb2";Standing Next to You;3
3;Anaëlle;playlist2 de Anaëlle;Playlist;;"7L2hdzHtKPoPYayeW3nfeO";Backwood;4
3;Anaëlle;playlist2 de Anaëlle;Playlist;;"41owO9tpVFmNAZ4IEpM2iK";Escorte;5
3;Anaëlle;playlist2 de Anaëlle;Playlist;;"7nRu7XBxQ9q7OPraoA6Gis";Alpha 5.20;6
3;Anaëlle;playlist2 de Anaëlle;Playlist;;"6VRK4oF2RcOk9S9OcLtlQC";My Special Angel;7
3;Anaëlle;playlist2 de Anaëlle;Playlist;;"3c1YCQvr720s61gHPgtkv8";Mi Pueblo;8
3;Anaëlle;playlist2 de Anaëlle;Playlist;;"0v6GAfwt0ibZS1yMDc2LZI";ALLELUIA;9
3;Anaëlle;playlist2 de Anaëlle;Playlist;;"3tseaSSAXzv89DvJFUM1uO";Tes yeux se moquent;10
3;Anaëlle;playlist2 de Anaëlle;Playlist;;"6YM0J0Wra1qlpeq3yD99Xz";I'll Be Home for Christmas;11
3;Anaëlle;playlist2 de Anaëlle;Playlist;;"6sCvvleqKbeyOkQDieBYgp";Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By;12
3;Anaëlle;playlist2 de Anaëlle;Playlist;;"4y5bvROuBDPr5fuwXbIBZR";Paper Rings;13
3;Anaëlle;playlist2 de Anaëlle;Playlist;;"3L59fb5mV5MvouCFoatZDk";Opérationnel;14
3;Anaëlle;playlist2 de Anaëlle;Playlist;;"7AoYApfKZO5jADcj7AmWg2";Maladie moderne;15
3;Anaëlle;playlist2 de Anaëlle;Playlist;;"3KjGx8V5gCOUIyeHQMVLhh";Gingst;16
3;Anaëlle;playlist2 de Anaëlle;Playlist;;"75lUl0IK1bGTtnIdk05Lwz";Jamais fini;17
3;Anaëlle;playlist2 de Anaëlle;Playlist;;"6pLyDoBGAVBAXtZWcrQ2NB";Love Is A Stranger - Coldcut Remix / Remastered Version;18
3;Anaëlle;playlist3 de Anaëlle;Playlist;;"34Ptq4NkBUM5eVVtv6FJex";Lying from You - Live In Texas;1
3;Anaëlle;playlist3 de Anaëlle;Playlist;;"1F3ZdlEv2vCkb2Lnk6K2Vi";Hokuto Shinken;2
3;Anaëlle;playlist3 de Anaëlle;Playlist;;"4bSbrbMLExS6H5OCCqjsmm";Arsenik;3
3;Anaëlle;playlist3 de Anaëlle;Playlist;;"2JxEcfMeEUgYsQZWQCBBrR";"12";4
3;Anaëlle;playlist3 de Anaëlle;Playlist;;"4AWwa8me7EnMp6xCXnRTWo";Rock My Body (with INNA & Sash!);5
3;Anaëlle;playlist3 de Anaëlle;Playlist;;"7wFK2ReVQpq80IAGs6eI1l";Γ. Mosaïque solitaire;6
4;Noë;Dossier1;Folder;;;;
4;Noë;playlist1 de Noë;Playlist;Dossier1;"2BIAU9o4StvWIZXdGqq5ay";Bad Sharon (feat. Tyson Fury);1
4;Noë;playlist1 de Noë;Playlist;Dossier1;"1c3KqIIDoomFj4551PD1A5";Someday At Christmas;2
4;Noë;playlist1 de Noë;Playlist;Dossier1;"78JSv4VDMFtr3xCn9V8miW";Thanks (feat. J. Cole);3
4;Noë;playlist1 de Noë;Playlist;Dossier1;"6FB1DztAAnPJFhRFUOgHME";Imagine - Remastered 2010;4
5;Adrian;Dossier1;Folder;;;;
5;Adrian;Dossier11;Folder;Dossier1;;;
5;Adrian;Dossier12;Folder;Dossier1;;;
5;Adrian;Dossier13;Folder;Dossier1;;;
5;Adrian;Dossier2;Folder;;;;
5;Adrian;Dossier21;Folder;Dossier2;;;
5;Adrian;Dossier22;Folder;Dossier2;;;
5;Adrian;playlist1 de Adrian;Playlist;;"0Jh6iWjna1wk5le0Ahn7No";La vie qu'on mène;1
5;Adrian;playlist1 de Adrian;Playlist;;"5B9eMISEQHyNR2XGMwVzZn";Mon gars sûr;2
5;Adrian;playlist1 de Adrian;Playlist;;"6AynCuiHTQuVMYN2re6jcS";Cha-Ching (Till We Grow Older);3
5;Adrian;playlist1 de Adrian;Playlist;;"7m5HiiQi08y8jYKhy1GL77";Paré;4
5;Adrian;playlist1 de Adrian;Playlist;;"6UrwOlzFL5FT55kd1ZAk9K";Trapped By Love;5
5;Adrian;playlist1 de Adrian;Playlist;;"5JVR0F2Gya13oWlAG3dc62";"1 2 3 4";6
5;Adrian;playlist1 de Adrian;Playlist;;"0Q0WpwIDXBls1UVSY56j9u";Dernière danse - 2023 Remaster;7
5;Adrian;playlist1 de Adrian;Playlist;;"3DrGPggZW910fE8ILYx3cL";Toujours la même;8
5;Adrian;playlist1 de Adrian;Playlist;;"40lpr5GnW9fpWlLNyxkTRM";Habanna;9
5;Adrian;playlist1 de Adrian;Playlist;;"2b8XJIr3d9XbNwwO2TXrgq";Le chemin;10
5;Adrian;playlist1 de Adrian;Playlist;;"2WMyu5IYgxEuCd6xgFgJrl";Nature Boy;11
5;Adrian;playlist1 de Adrian;Playlist;;"5aU4KCKJRh0pYlrwplhRh4";Mother;12
5;Adrian;playlist1 de Adrian;Playlist;;"5SiZJoLXp3WOl3J4C8IK0d";Darkness;13
5;Adrian;playlist1 de Adrian;Playlist;;"02MWAaffLxlfxAUY7c5dvx";Heat Waves;14
5;Adrian;playlist1 de Adrian;Playlist;;"295SxdR1DqunCNwd0U767w";Blanka;15
5;Adrian;playlist1 de Adrian;Playlist;;"4KoBWHMhgCZJghJOURbPwi";What?;16
5;Adrian;playlist1 de Adrian;Playlist;;"1dbDilIFv1mpksM7efKnph";Esprit libre;17
5;Adrian;playlist2 de Adrian;Playlist;;"1xGmP8HasLB2Vcp0iBHeXP";I'm Good (Blue) - Extended;1
5;Adrian;playlist2 de Adrian;Playlist;;"2LKRpB6YTz0MUqbhJoqNCg";Back It Up;2
5;Adrian;playlist2 de Adrian;Playlist;;"029NcmhX6NMFn7aWYlOICo";Baise le monde;3
5;Adrian;playlist2 de Adrian;Playlist;;"1EblY10xN2AwkoUk6totPo";Tel père tel fils;4
5;Adrian;playlist2 de Adrian;Playlist;;"7io19rjxOFu3pGuZgBI6Pk";Drips;5
5;Adrian;playlist2 de Adrian;Playlist;;"6SY2LzUILYEnRgY2i2XaxD";Elle me disait;6
5;Adrian;playlist2 de Adrian;Playlist;;"6JzICCKjjIzQ5M2YqzLhWF";Winter Wonderland;7
5;Adrian;playlist2 de Adrian;Playlist;;"3kABdvoszRrBwLFNaZfuv6";libre (feat. MC Solaar);8
5;Adrian;playlist2 de Adrian;Playlist;;"6vAJwdqkl3NgiXcBIABAbD";Disconnect;9
5;Adrian;playlist2 de Adrian;Playlist;;"0LuQCxuFBxHGLMbYQq1qcp";Parle moi;10
5;Adrian;playlist2 de Adrian;Playlist;;"368KS9UNJ8cft7RJ1USwb9";Raspoutine;11
5;Adrian;playlist2 de Adrian;Playlist;;"5lxIW1YijMLio4srCKxch2";Forbidden;12
5;Adrian;playlist3 de Adrian;Playlist;Dossier11;"505v13epFXodT9fVAJ6h8k";AMARGURA;1
5;Adrian;playlist3 de Adrian;Playlist;Dossier11;"5AlKSrMjBppYiBcGAE6Xe0";Red-Suited Super Man;2
5;Adrian;playlist3 de Adrian;Playlist;Dossier11;"7GQOJf7doVvhCmUFPmBg0S";Les jeunes;3
5;Adrian;playlist4 de Adrian;Playlist;Dossier12;"13nBeewLZew9thiGsbUY23";Bombonne;1
5;Adrian;playlist4 de Adrian;Playlist;Dossier12;"2kXfIsnVJeSLL4krQXk5VG";La Plus Belle Du Monde;2
5;Adrian;playlist4 de Adrian;Playlist;Dossier12;"65rfsMu9ngHzLuckiQu6zw";Rain;3
5;Adrian;playlist4 de Adrian;Playlist;Dossier12;"3xMnPIvsaWwzHzqqzaihEX";Nonviolent Communication (Metro Boomin & James Blake, A$AP Rocky, 21 Savage);4
5;Adrian;playlist4 de Adrian;Playlist;Dossier12;"1T1bzJ9qz37WfW9o9rcJTS";Grisaille;5
