"idartist";"name";"popularity";"followers";"genre";"award";"category";"year"
"7BOLXRhKCofrP6ESS7Owuo";Lennox;58;37;;;;
"1G9HFDmxRyF78W1DyQBUfD";Oussagaza;27;59;;;;
"6PAt558ZEZl0DmdXlnjMgD";Eric Clapton;70;43;soft rock;;;
"6PAt558ZEZl0DmdXlnjMgD";Eric Clapton;70;43;singer-songwriter;;;
"6PAt558ZEZl0DmdXlnjMgD";Eric Clapton;70;43;rock;;;
"6PAt558ZEZl0DmdXlnjMgD";Eric Clapton;70;43;mellow gold;;;
"6PAt558ZEZl0DmdXlnjMgD";Eric Clapton;70;43;electric blues;;;
"6PAt558ZEZl0DmdXlnjMgD";Eric Clapton;70;43;classic rock;;;
"6PAt558ZEZl0DmdXlnjMgD";Eric Clapton;70;43;blues rock;;;
"6PAt558ZEZl0DmdXlnjMgD";Eric Clapton;70;43;album rock;;;
"0PMtZ48ugLkoxg4cjggEVl";Stone Black;33;46;;;;
"5pCGvSxNNUcddlRrG0wsrY";Roisee;62;48;;;;
"1vv6uOCn9qLPFPfp0SiF90";Kosa;10;0;;;;
"0GG2cWaonE4JPrjcCCQ1EG";SG Lewis;61;58;vapor soul;;;
"0GG2cWaonE4JPrjcCCQ1EG";SG Lewis;61;58;uk dance;;;
"0GG2cWaonE4JPrjcCCQ1EG";SG Lewis;61;58;indie soul;;;
"0GG2cWaonE4JPrjcCCQ1EG";SG Lewis;61;58;electropop;;;
"5jsIYrxcANUkZQPfCdfEWe";Partenaire Particulier;47;49;french synthpop;;;
"5jsIYrxcANUkZQPfCdfEWe";Partenaire Particulier;47;49;french pop;;;
"5jsIYrxcANUkZQPfCdfEWe";Partenaire Particulier;47;49;classic french pop;;;
"5jsIYrxcANUkZQPfCdfEWe";Partenaire Particulier;47;49;chanson;;;
"5jNmxPYz8QE5rYp4GDil8t";Dina Rae;66;44;;;;
"0eRtInepLNyuZsho3EonUS";KALY;36;50;;;;
"2txHhyCwHjUEpJjWrEyqyX";Tom Odell;77;39;chill pop;;;
"1IueXOQyABrMOprrzwQJWN";Sigala;68;56;uk dance;;;
"1IueXOQyABrMOprrzwQJWN";Sigala;68;56;pop dance;;;
"1IueXOQyABrMOprrzwQJWN";Sigala;68;56;edm;;;
"1IueXOQyABrMOprrzwQJWN";Sigala;68;56;dance pop;;;
"44qAhQu52dYKcHOFQd3esf";Francis Mercier;56;51;melodic house;;;
"1SupJlEpv7RS2tPNRaHViT";Nicky Jam;79;47;urbano latino;;;
"1SupJlEpv7RS2tPNRaHViT";Nicky Jam;79;47;trap latino;;;
"1SupJlEpv7RS2tPNRaHViT";Nicky Jam;79;47;reggaeton;;;
"1SupJlEpv7RS2tPNRaHViT";Nicky Jam;79;47;latin hip hop;;;
"7DUTsWY3RBd64vh8UtgtYA";Lacrim;66;44;pop urbaine;;;
"7DUTsWY3RBd64vh8UtgtYA";Lacrim;66;44;french hip hop;;;
"7DUTsWY3RBd64vh8UtgtYA";Lacrim;66;44;arabic hip hop;;;
"1zkKkDDra0jlsiJYz57P3P";Mustafa;57;48;chill pop;;;
"6soPpJHlCtN6SY8pWlfbC6";-M-;57;43;nouvelle chanson francaise;;;
"6soPpJHlCtN6SY8pWlfbC6";-M-;57;43;french rock;;;
"6soPpJHlCtN6SY8pWlfbC6";-M-;57;43;french pop;;;
"6soPpJHlCtN6SY8pWlfbC6";-M-;57;43;chanson;;;
"0Y3agQaa6g2r0YmHPOO9rh";Davido;72;48;nigerian pop;;;
"0Y3agQaa6g2r0YmHPOO9rh";Davido;72;48;ghanaian hip hop;;;
"0Y3agQaa6g2r0YmHPOO9rh";Davido;72;48;azontobeats;;;
"0Y3agQaa6g2r0YmHPOO9rh";Davido;72;48;afropop;;;
"0Y3agQaa6g2r0YmHPOO9rh";Davido;72;48;afrobeats;;;
"3SqADzYzd7W0qbkUimYuo5";Kendo Kapponi;46;45;;;;
"085pc2PYOi8bGKj0PNjekA";will.i.am;72;39;pop;;;
"085pc2PYOi8bGKj0PNjekA";will.i.am;72;39;dance pop;;;
"4STHEaNw4mPZ2tzheohgXB";Paul McCartney;73;46;soft rock;;;
"4STHEaNw4mPZ2tzheohgXB";Paul McCartney;73;46;rock;;;
"4STHEaNw4mPZ2tzheohgXB";Paul McCartney;73;46;mellow gold;;;
"4STHEaNw4mPZ2tzheohgXB";Paul McCartney;73;46;classic rock;;;
"4QFG9KrGWEbr6hNA58CAqE";Alemán;74;53;trap mexicano;;;
"4QFG9KrGWEbr6hNA58CAqE";Alemán;74;53;mexican hip hop;;;
"7bZpYWk0ZZN7CkOeXbAY0Z";Potter Payper;59;48;uk hip hop;;;
"7bZpYWk0ZZN7CkOeXbAY0Z";Potter Payper;59;48;grime;;;
"2R21vXR83lH98kGeO99Y66";Anuel AA;87;454;urbano latino;;;
"2R21vXR83lH98kGeO99Y66";Anuel AA;87;454;trap latino;;;
"2R21vXR83lH98kGeO99Y66";Anuel AA;87;454;trap boricua;;;
"2R21vXR83lH98kGeO99Y66";Anuel AA;87;454;reggaeton flow;;;
"2R21vXR83lH98kGeO99Y66";Anuel AA;87;454;reggaeton;;;
"4Xi6LSfFqv26XgP9NKN26U";AJ Tracey;67;46;ukg revival;;;
"4Xi6LSfFqv26XgP9NKN26U";AJ Tracey;67;46;uk hip hop;;;
"4Xi6LSfFqv26XgP9NKN26U";AJ Tracey;67;46;grime;;;
"5V0MlUE1Bft0mbLlND7FJz";Ella Fitzgerald;71;46;vocal jazz;;;
"5V0MlUE1Bft0mbLlND7FJz";Ella Fitzgerald;71;46;swing;;;
"5V0MlUE1Bft0mbLlND7FJz";Ella Fitzgerald;71;46;soul;;;
"5V0MlUE1Bft0mbLlND7FJz";Ella Fitzgerald;71;46;jazz blues;;;
"5V0MlUE1Bft0mbLlND7FJz";Ella Fitzgerald;71;46;jazz;;;
"5V0MlUE1Bft0mbLlND7FJz";Ella Fitzgerald;71;46;adult standards;;;
"4olE3I5QU0dvSR7LIpqTXc";WATT;59;56;modern alternative rock;;;
"3qLpAs6VLppZrKlI0CXK6k";Kayna Samet;42;48;r&b francais;;;
"3qLpAs6VLppZrKlI0CXK6k";Kayna Samet;42;48;old school rap francais;;;
"5gf4BY4lsH1wyo0DFhMe21";A-Deal;34;43;;;;
"1gm1katIowFM22Ldqcw6DK";Ricky Rich;60;45;swedish trap pop;;;
"3L774tiJRvPmAS90pOLB44";Rsko;62;39;r&b francais;;;
"3L774tiJRvPmAS90pOLB44";Rsko;62;39;pop urbaine;;;
"6d47Z08T4snK50HgTEHo5Z";Sage The Gemini;61;46;trap;;;
"6d47Z08T4snK50HgTEHo5Z";Sage The Gemini;61;46;southern hip hop;;;
"6d47Z08T4snK50HgTEHo5Z";Sage The Gemini;61;46;pop rap;;;
"6d47Z08T4snK50HgTEHo5Z";Sage The Gemini;61;46;hyphy;;;
"5lwmRuXgjX8xIwlnauTZIP";Romeo Santos;81;92;urbano latino;;;
"5lwmRuXgjX8xIwlnauTZIP";Romeo Santos;81;92;latin pop;;;
"5lwmRuXgjX8xIwlnauTZIP";Romeo Santos;81;92;latin hip hop;;;
"5lwmRuXgjX8xIwlnauTZIP";Romeo Santos;81;92;bachata;;;
"4PUr4W5mWlzMkyVpSiX2ZN";Makar;56;45;belgian hip hop;;;
"1i8SpTcr7yvPOmcqrbnVXY";Ozuna;85;440;urbano latino;;;
"1i8SpTcr7yvPOmcqrbnVXY";Ozuna;85;440;trap latino;;;
"1i8SpTcr7yvPOmcqrbnVXY";Ozuna;85;440;reggaeton;;;
"1i8SpTcr7yvPOmcqrbnVXY";Ozuna;85;440;puerto rican pop;;;
"0PcU18DNfkn3pmbjy5yMFz";Genezio;51;53;r&b francais;;;
"7AnicFwiG8liYDJGZRw9Gu";Nia;34;53;;;;
"00CMSJdbf36zOzKB3z8JrR";Victor Cardenas;54;43;guaracha;;;
"4DdkRBBYG6Yk9Ka8tdJ9BW";Offset;80;55;trap;;;
"4DdkRBBYG6Yk9Ka8tdJ9BW";Offset;80;55;rap;;;
"4DdkRBBYG6Yk9Ka8tdJ9BW";Offset;80;55;pop rap;;;
"4DdkRBBYG6Yk9Ka8tdJ9BW";Offset;80;55;hip hop;;;
"4DdkRBBYG6Yk9Ka8tdJ9BW";Offset;80;55;atl hip hop;;;
"5QdEbQJ3ylBnc3gsIASAT5";G Herbo;69;38;trap;;;
"5QdEbQJ3ylBnc3gsIASAT5";G Herbo;69;38;drill;;;
"5QdEbQJ3ylBnc3gsIASAT5";G Herbo;69;38;chicago rap;;;
"5QdEbQJ3ylBnc3gsIASAT5";G Herbo;69;38;chicago drill;;;
"2nnza2r2urV90Ykr5Sfnsi";FLEM KGB;52;30;;;;
"3PNDb43tmCsl8bFe52Hjbd";Marella;9;0;;;;
"2WBJQGf1bT1kxuoqziH5g4";Purple Disco Machine;72;58;house;;;
"2WBJQGf1bT1kxuoqziH5g4";Purple Disco Machine;72;58;deep house;;;
"1ZjPqYngrwDa5ZqwAPcj5o";Shurik'n;49;35;rap marseille;;;
"1ZjPqYngrwDa5ZqwAPcj5o";Shurik'n;49;35;rap conscient;;;
"1ZjPqYngrwDa5ZqwAPcj5o";Shurik'n;49;35;old school rap francais;;;
"1ZjPqYngrwDa5ZqwAPcj5o";Shurik'n;49;35;french hip hop;;;
"3E0d6yF8knEtWluzLbxCVA";Endless Summer;58;50;;;;
"1FmxE030Xe2H8Bn9bdv6Pd";Vanessa Paradis;58;47;french pop;;;
"1FmxE030Xe2H8Bn9bdv6Pd";Vanessa Paradis;58;47;chanson;;;
"2sSVegHvvHIOT1gVsqw8EW";Andrea Zelletta;40;43;;;;
"1GxkXlMwML1oSg5eLPiAz3";Michael Bublé;81;78;lounge;;;
"1GxkXlMwML1oSg5eLPiAz3";Michael Bublé;81;78;jazz pop;;;
"1GxkXlMwML1oSg5eLPiAz3";Michael Bublé;81;78;canadian pop;;;
"1GxkXlMwML1oSg5eLPiAz3";Michael Bublé;81;78;adult standards;;;
"1g6Hs3pSerBl61R9AKUeHr";Kepler;34;39;rap francais;;;
"5nH2klYTzn8CNvUv1GOGQO";Eva;49;45;r&b francais;;;
"5nH2klYTzn8CNvUv1GOGQO";Eva;49;45;pop urbaine;;;
"64KEffDW9EtZ1y2vBYgq8T";Marshmello;84;376;progressive electro house;;;
"64KEffDW9EtZ1y2vBYgq8T";Marshmello;84;376;pop;;;
"64KEffDW9EtZ1y2vBYgq8T";Marshmello;84;376;edm;;;
"64KEffDW9EtZ1y2vBYgq8T";Marshmello;84;376;brostep;;;
"3rROvEsUJJ9y55g1PLaA16";Robert Trujillo;43;37;;;;
"61O1t9W4rYDRcGF9DJUTJw";Zokush;57;34;rap francais;;;
"61O1t9W4rYDRcGF9DJUTJw";Zokush;57;34;r&b francais;;;
"3tNQ0aWtzDKGwyWz2oOAFG";Kamikaz;47;44;rap marseille;;;
"3tNQ0aWtzDKGwyWz2oOAFG";Kamikaz;47;44;pop urbaine;;;
"3tNQ0aWtzDKGwyWz2oOAFG";Kamikaz;47;44;french hip hop;;;
"3wcj11K77LjEY1PkEazffa";Burna Boy;79;45;nigerian pop;;;
"3wcj11K77LjEY1PkEazffa";Burna Boy;79;45;nigerian hip hop;;;
"3wcj11K77LjEY1PkEazffa";Burna Boy;79;45;dancehall;;;
"3wcj11K77LjEY1PkEazffa";Burna Boy;79;45;azontobeats;;;
"3wcj11K77LjEY1PkEazffa";Burna Boy;79;45;afrobeats;;;
"2Hm1FrOSig2huzbCkObykE";FAYV;27;40;;;;
"1ONaDILNtXKICFlrBdmgif";Stéphane;39;39;french pop;;;
"28KOnhhvUnyvgRNXEQ41WL";Hollis;50;43;;;;
"59hLmB5DrdihCYtNeFeW1U";Glen Campbell;61;46;soft rock;;;
"59hLmB5DrdihCYtNeFeW1U";Glen Campbell;61;46;singer-songwriter;;;
"59hLmB5DrdihCYtNeFeW1U";Glen Campbell;61;46;nashville sound;;;
"59hLmB5DrdihCYtNeFeW1U";Glen Campbell;61;46;mellow gold;;;
"59hLmB5DrdihCYtNeFeW1U";Glen Campbell;61;46;folk rock;;;
"59hLmB5DrdihCYtNeFeW1U";Glen Campbell;61;46;classic country pop;;;
"59hLmB5DrdihCYtNeFeW1U";Glen Campbell;61;46;arkansas country;;;
"59hLmB5DrdihCYtNeFeW1U";Glen Campbell;61;46;adult standards;;;
"50NoVNy9GU1lCrDV8iGpyu";Ol' Dirty Bastard;64;38;hip hop;;;
"50NoVNy9GU1lCrDV8iGpyu";Ol' Dirty Bastard;64;38;hardcore hip hop;;;
"50NoVNy9GU1lCrDV8iGpyu";Ol' Dirty Bastard;64;38;east coast hip hop;;;
"3FLS6y4AR3126l4D06V0ZD";Zazie;55;31;french rock;;;
"3FLS6y4AR3126l4D06V0ZD";Zazie;55;31;french pop;;;
"3FLS6y4AR3126l4D06V0ZD";Zazie;55;31;chanson;;;
"7cUFvbLZrLySXBoxk39kCZ";Locko;48;43;cameroonian pop;;;
"7cUFvbLZrLySXBoxk39kCZ";Locko;48;43;azontobeats;;;
"6XyY86QOPPrYVGvF9ch6wz";Linkin Park;84;382;rock;;;
"6XyY86QOPPrYVGvF9ch6wz";Linkin Park;84;382;rap metal;;;
"6XyY86QOPPrYVGvF9ch6wz";Linkin Park;84;382;post-grunge;;;
"6XyY86QOPPrYVGvF9ch6wz";Linkin Park;84;382;nu metal;;;
"6XyY86QOPPrYVGvF9ch6wz";Linkin Park;84;382;alternative metal;;;
"0TPlgv7eySSCChc2vKRIml";Ken Lane Singers;46;40;;;;
"4vnmifnGOeRXfNTRtgd4Tj";Sexion d'Assaut;57;43;rap conscient;;;
"4vnmifnGOeRXfNTRtgd4Tj";Sexion d'Assaut;57;43;pop urbaine;;;
"4vnmifnGOeRXfNTRtgd4Tj";Sexion d'Assaut;57;43;french pop;;;
"4vnmifnGOeRXfNTRtgd4Tj";Sexion d'Assaut;57;43;french hip hop;;;
"59gzAeE63TMTxOdjU3Ew0K";Bloody Civilian;54;41;nigerian pop;;;
"59gzAeE63TMTxOdjU3Ew0K";Bloody Civilian;54;41;afrobeats;;;
"6Te49r3A6f5BiIgBRxH7FH";Ninho;77;44;pop urbaine;;;
"6Te49r3A6f5BiIgBRxH7FH";Ninho;77;44;french hip hop;;;
"3HUXmgW0AIko5psVtQmqWE";Jimmy Sax;51;54;saxophone house;;;
"2EFpb61Lpi0l5ldOiqbZkK";Landy;60;58;rap francais;;;
"2EFpb61Lpi0l5ldOiqbZkK";Landy;60;58;pop urbaine;;;
"2EFpb61Lpi0l5ldOiqbZkK";Landy;60;58;french hip hop;;;
"3IW7ScrzXmPvZhB27hmfgy";Jul;81;93;rap marseille;;;
"3IW7ScrzXmPvZhB27hmfgy";Jul;81;93;pop urbaine;;;
"3IW7ScrzXmPvZhB27hmfgy";Jul;81;93;french hip hop;;;
"7guDJrEfX3qb6FEbdPA5qi";Stevie Wonder;76;53;soul;;;
"7guDJrEfX3qb6FEbdPA5qi";Stevie Wonder;76;53;motown;;;
"06HL4z0CvFAxyc27GXpf02";Taylor Swift;100;365;pop;;;
"7bXgB6jMjp9ATFy66eO08Z";Chris Brown;87;453;rap;;;
"7bXgB6jMjp9ATFy66eO08Z";Chris Brown;87;453;r&b;;;
"77AiFEVeAVj2ORpC85QVJs";Steve Aoki;72;52;pop dance;;;
"77AiFEVeAVj2ORpC85QVJs";Steve Aoki;72;52;electro house;;;
"77AiFEVeAVj2ORpC85QVJs";Steve Aoki;72;52;edm;;;
"2HPiMwJktBXqakN0hnON2R";Lous and The Yakuza;53;48;belgian pop;;;
"0HS96tPggl2nwiz3gNWWI5";Mitchell Ayres & His Orchestra;63;41;man's orchestra;;;
"2oQX8QiMXOyuqbcZEFsZfm";El Alfa;78;47;urbano latino;;;
"2oQX8QiMXOyuqbcZEFsZfm";El Alfa;78;47;trap latino;;;
"2oQX8QiMXOyuqbcZEFsZfm";El Alfa;78;47;rap dominicano;;;
"2oQX8QiMXOyuqbcZEFsZfm";El Alfa;78;47;dembow;;;
"2KEqzdPS7M5YwGmiuPTdr5";Rina Sawayama;59;46;indie pop;;;
"2KEqzdPS7M5YwGmiuPTdr5";Rina Sawayama;59;46;escape room;;;
"2KEqzdPS7M5YwGmiuPTdr5";Rina Sawayama;59;46;electropop;;;
"2KEqzdPS7M5YwGmiuPTdr5";Rina Sawayama;59;46;art pop;;;
"0ZcJXldoq09BRIMl0Qh1Vm";Dave Koz;51;46;smooth saxophone;;;
"0ZcJXldoq09BRIMl0Qh1Vm";Dave Koz;51;46;smooth jazz;;;
"0ZcJXldoq09BRIMl0Qh1Vm";Dave Koz;51;46;jazz saxophone;;;
"6LuN9FCkKOj5PcnpouEgny";Khalid;82;161;pop r&b;;;
"6LuN9FCkKOj5PcnpouEgny";Khalid;82;161;pop;;;
"79KQgTCu4wV38ECYKn62DZ";White Gold;48;46;;;;
"3LKrYMU7uSlrqt6QbjOmw3";Adz;21;36;;;;
"3BQ9mWlgFRfMr5EdNfc10a";Nej;64;40;r&b francais;;;
"3BQ9mWlgFRfMr5EdNfc10a";Nej;64;40;pop urbaine;;;
"0YinUQ50QDB7ZxSCLyQ40k";Mustard;70;46;trap;;;
"0YinUQ50QDB7ZxSCLyQ40k";Mustard;70;46;southern hip hop;;;
"0YinUQ50QDB7ZxSCLyQ40k";Mustard;70;46;rap;;;
"0YinUQ50QDB7ZxSCLyQ40k";Mustard;70;46;pop rap;;;
"0YinUQ50QDB7ZxSCLyQ40k";Mustard;70;46;cali rap;;;
"3Isy6kedDrgPYoTS1dazA9";Sean Paul;79;55;pop rap;;;
"3Isy6kedDrgPYoTS1dazA9";Sean Paul;79;55;pop;;;
"3Isy6kedDrgPYoTS1dazA9";Sean Paul;79;55;dancehall;;;
"3Isy6kedDrgPYoTS1dazA9";Sean Paul;79;55;dance pop;;;
"361yF1F1cJGF4fL1dnCohu";Inso le véritable;13;44;;;;
"5KKpBU5eC2tJDzf0wmlRp2";RAYE;79;49;uk pop;;;
"5KKpBU5eC2tJDzf0wmlRp2";RAYE;79;49;uk contemporary r&b;;;
"4uNv6RD2YXwoaKgHfJZkkL";Violet Days;57;43;indie electropop;;;
"4S9EykWXhStSc15wEx8QFK";Céline Dion;74;44;canadian pop;;;
"5KEG7G8LDYlHgFDqZyEEs2";Chris Rea;66;40;sophisti-pop;;;
"5KEG7G8LDYlHgFDqZyEEs2";Chris Rea;66;40;soft rock;;;
"1Ml4OuStDoympbREURAM15";The Fontane Sisters;62;45;vocal harmony group;;;
"1Ml4OuStDoympbREURAM15";The Fontane Sisters;62;45;deep adult standards;;;
"11jTIrOwxFOLvhJIdb4FYo";JeanJass;48;36;french hip hop;;;
"11jTIrOwxFOLvhJIdb4FYo";JeanJass;48;36;belgian hip hop;;;
"7x3eTVPlBiPjXHn3qotY86";KeBlack;64;36;r&b francais;;;
"7x3eTVPlBiPjXHn3qotY86";KeBlack;64;36;pop urbaine;;;
"7x3eTVPlBiPjXHn3qotY86";KeBlack;64;36;french hip hop;;;
"4dw36wWPNr3suButiPrbEq";TJO;0;0;;;;
"329e4yvIujISKGKz1BZZbO";Farruko;82;147;urbano latino;;;
"329e4yvIujISKGKz1BZZbO";Farruko;82;147;trap latino;;;
"329e4yvIujISKGKz1BZZbO";Farruko;82;147;reggaeton;;;
"1EtE0iSY6iFlN9L9c53ETy";Michel Legrand;49;44;french soundtrack;;;
"1EtE0iSY6iFlN9L9c53ETy";Michel Legrand;49;44;french jazz;;;
"4ddqz1AzqYMRKYTslXO839";Doria;46;54;;;;
"0WfKB7Lqqykt6gdtirYJUm";Samara;58;38;rap tunisien;;;
"0WfKB7Lqqykt6gdtirYJUm";Samara;58;38;arabic hip hop;;;
"20pbz4TbpkBUr5JwYfGgPS";Kekra;54;54;rap francais;;;
"20pbz4TbpkBUr5JwYfGgPS";Kekra;54;54;pop urbaine;;;
"20pbz4TbpkBUr5JwYfGgPS";Kekra;54;54;french hip hop;;;
"3Oa0mJQWQrUOqJ8fcLuu7l";DBN Gogo;52;38;amapiano;;;
"0SXZ0s0MoLOjw4Af6i3OGC";Tsew The Kid;56;51;rap calme;;;
"5Pwc4xIPtQLFEnJriah9YJ";OneRepublic;82;147;pop;;;
"5Pwc4xIPtQLFEnJriah9YJ";OneRepublic;82;147;piano rock;;;
"5KNNVgR6LBIABRIomyCwKJ";Dermot Kennedy;71;37;uk pop;;;
"5KNNVgR6LBIABRIomyCwKJ";Dermot Kennedy;71;37;irish pop;;;
"5KNNVgR6LBIABRIomyCwKJ";Dermot Kennedy;71;37;folk-pop;;;
"1KQJOTeIMbixtnSWY4sYs2";Paky;64;49;trap italiana;;;
"1KQJOTeIMbixtnSWY4sYs2";Paky;64;49;italian hip hop;;;
"0ErzCpIMyLcjPiwT4elrtZ";NLE Choppa;79;49;rap;;;
"0ErzCpIMyLcjPiwT4elrtZ";NLE Choppa;79;49;memphis hip hop;;;
"5vnUF9uAL0ly7qw25ERLuC";TK;50;41;rap marseille;;;
"5vnUF9uAL0ly7qw25ERLuC";TK;50;41;rap francais;;;
"5vnUF9uAL0ly7qw25ERLuC";TK;50;41;pop urbaine;;;
"5vnUF9uAL0ly7qw25ERLuC";TK;50;41;french hip hop;;;
"5W9ShLREoRMuXqSSYMeHqk";Gianni;42;40;rap francais;;;
"5W9ShLREoRMuXqSSYMeHqk";Gianni;42;40;cloud rap francais;;;
"5v8jlSmAQfrkTjAlpUfWtu";Perry Como;68;42;lounge;;;
"5v8jlSmAQfrkTjAlpUfWtu";Perry Como;68;42;easy listening;;;
"5v8jlSmAQfrkTjAlpUfWtu";Perry Como;68;42;adult standards;;;
"1NCrHXp9R3ogv8ezWWHFNs";Jean-Louis Aubert;45;39;french rock;;;
"1NCrHXp9R3ogv8ezWWHFNs";Jean-Louis Aubert;45;39;french pop;;;
"1NCrHXp9R3ogv8ezWWHFNs";Jean-Louis Aubert;45;39;chanson;;;
"5Z2NUZiY3FA00HKu5WTMhA";Mary Lambert;48;43;neo mellow;;;
"4npEfmQ6YuiwW1GpUmaq3F";Ava Max;79;46;pop;;;
"6L34dW6SKMSDaGIfYDU19j";Maes;68;39;rap francais;;;
"6L34dW6SKMSDaGIfYDU19j";Maes;68;39;pop urbaine;;;
"6L34dW6SKMSDaGIfYDU19j";Maes;68;39;french hip hop;;;
"78rUTD7y6Cy67W1RVzYs7t";PinkPantheress;77;31;bedroom pop;;;
"2mLA48B366zkELXYx7hcDN";Peggy Gou;70;41;float house;;;
"2mLA48B366zkELXYx7hcDN";Peggy Gou;70;41;electra;;;
"64tnAMgE8bc2zTMBcBsLdx";DJane HouseKat;49;39;german dance;;;
"6V6mxrGG67IyLFy2l4poNZ";Dafina Zeqiri;61;30;kosovan pop;;;
"6V6mxrGG67IyLFy2l4poNZ";Dafina Zeqiri;61;30;albanian pop;;;
"6Pr9pssRV0tD0jdh2Z84td";SAF;50;46;pop urbaine;;;
"6Pr9pssRV0tD0jdh2Z84td";SAF;50;46;musique comorienne;;;
"07YZf4WDAMNwqr4jfgOZ8y";Jason Derulo;77;42;pop;;;
